Model and feature tuning leaderboard (scorer=RMSE):
+-------------+-----------+-----------------+--------------------+-----------------+-------------------------+----------------------------+---------------+---------+----------+---------------+-----------------+-----------+------------------+-------------+------------+--------------+---------------------+--------------------+-------------------+----------------------------+----------------+----------+---------------+-------------+----------------+-------------+-------------+--------------+--------------------+----------+-------------+-------------+------------------+---------------+----------+-------------+------------------+------------+------------------------+----------------------------+----------------+--------------+----------+-----------------+-------------+--------------+--------------+--------------+------------+----------+--------+
|   job order | booster   | boosting_type   |   colsample_bytree | debug_verbose   | early_stopping_rounds   | early_stopping_threshold   | eval_metric   |   gamma | gpu_id   | grow_policy   | learning_rate   |   max_bin |   max_delta_step |   max_depth | max_drop   |   max_leaves |   min_child_samples | min_child_weight   |   min_data_in_bin | monotonicity_constraints   | n_estimators   | n_gpus   | num_classes   | objective   | random_state   | rate_drop   |   reg_alpha |   reg_lambda |   scale_pos_weight | silent   | skip_drop   |   subsample | subsample_freq   | tree_method   |   scores |   scores_sd |   training_times |   rel_time |   optimal_n_estimators |   rel_optimal_n_estimators |   ngenes_start |   ngenes_max |   ngenes |   nfeatures_max |   nfeatures | job status   |   rel_scores |   complexity |    z-score | isbest   | good   |
|          10 | gbtree    | gbdt            |               0.45 | 0               | 20                      | 0                          | rmse          |   0     | 0        | depthwise     | 0.02            |       256 |                0 |          10 |            |            0 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      |             |         0   |          0.5 |                  1 | True     |             |         0.8 |                  | gpu_hist      |  789.922 |     18.3938 |         3.92696  |  0.26429   |                    600 |                   1        |             44 |         1302 |       15 |            1302 |          14 | PASSED       |     0.534275 |    4743.42   |  27.6778   |          |        |
|          61 | gbtree    | gbdt            |               0.5  | 0               | 20                      | 0                          | rmse          |   0.001 | 0        | depthwise     | 0.05            |        64 |                0 |           6 |            |            0 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      |             |         0   |          0.5 |                  1 | True     |             |         0.9 |                  | gpu_hist      |  791.362 |     59.5688 |         1.74273  |  0.117288  |                    244 |                   0.406667 |             43 |        82938 |        9 |           82938 |           7 | PASSED       |     0.533303 |     322.745  |  27.7861   |          |        |
|          36 | lightgbm  | rf              |               0.7  | 0               | 20                      | 0                          | rmse          |   0.001 | 0        | depthwise     | 0.01            |       128 |                0 |           7 | 50         |            0 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      | 0.2         |         0   |          1   |                  1 | True     | 0.5         |         0.6 | 5                | gpu_hist      |  794.998 |     23.2372 |         2.55918  |  0.172237  |                    599 |                   0.998333 |             43 |    100000000 |        9 |       100000000 |           9 | PASSED       |     0.530864 |    1164.83   |  28.0597   |          |        |
|           3 | gbtree    | gbdt            |               0.45 | 0               | 20                      | 0                          | rmse          |   0     | 0        | depthwise     | 0.02            |       256 |                0 |           6 |            |            0 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      |             |         0   |          0.5 |                  1 | True     |             |         0.8 |                  | gpu_hist      |  797.243 |     26.7998 |         3.09032  |  0.207983  |                    600 |                   1        |             44 |        20809 |       14 |           20809 |          13 | PASSED       |     0.529369 |    1234.54   |  28.2286   |          |        |
|           7 | gbtree    | gbdt            |               0.45 | 0               | 20                      | 0                          | rmse          |   0     | 0        | depthwise     | 0.02            |       256 |                0 |          10 |            |            0 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      |             |         0   |          0.5 |                  1 | True     |             |         0.8 |                  | gpu_hist      |  799.657 |     24.1109 |         4.05524  |  0.272923  |                    600 |                   1        |             44 |         1302 |       17 |            1302 |          16 | PASSED       |     0.527771 |    5375.87   |  28.4102   |          |        |
|          47 | lightgbm  | rf              |               0.2  | 0               | 20                      | 0                          | rmse          |   0.01  | 0        | depthwise     | 0.05            |        32 |                0 |          12 | 50         |            0 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      | 0.2         |         0   |          2   |                  1 | True     | 0.4         |         0.9 | 5                | gpu_hist      |  804.879 |     24.0902 |         1.75576  |  0.118165  |                    210 |                   0.35     |             43 |    100000000 |       22 |       100000000 |          23 | PASSED       |     0.524347 |    3841      |  28.8031   |          |        |
|          58 | gbtree    | gbdt            |               0.4  | 0               | 20                      | 0                          | rmse          |   0     | 0        | lossguide     | 0.01            |        64 |                0 |           0 |            |           64 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      |             |         0   |          1   |                  1 | True     |             |         0.6 |                  | gpu_hist      |  808.64  |     24.1762 |         2.61943  |  0.176291  |                    600 |                   1        |             43 |        82938 |       16 |           82938 |          16 | PASSED       |     0.521908 |    1024      |  29.0861   |          |        |
|          13 | gbtree    | gbdt            |               0.45 | 0               | 20                      | 0                          | rmse          |   0     | 0        | depthwise     | 0.02            |       256 |                0 |           6 |            |            0 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      |             |         0   |          0.5 |                  1 | True     |             |         0.8 |                  | gpu_hist      |  816.726 |     22.5387 |         2.86244  |  0.192646  |                    600 |                   1        |             45 |        20809 |       15 |           20809 |          13 | PASSED       |     0.516741 |    1322.72   |  29.6944   |          |        |
|          15 | gbtree    | gbdt            |               0.45 | 0               | 20                      | 0                          | rmse          |   0     | 0        | depthwise     | 0.02            |       256 |                0 |          10 |            |            0 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      |             |         0   |          0.5 |                  1 | True     |             |         0.8 |                  | gpu_hist      |  818.75  |     22.735  |         3.81586  |  0.256812  |                    600 |                   1        |             45 |         1302 |       13 |            1302 |          13 | PASSED       |     0.515463 |    4110.96   |  29.8467   |          |        |
|          14 | gbtree    | gbdt            |               0.45 | 0               | 20                      | 0                          | rmse          |   0     | 0        | depthwise     | 0.02            |       256 |                0 |           6 |            |            0 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      |             |         0   |          0.5 |                  1 | True     |             |         0.8 |                  | gpu_hist      |  823.019 |     21.5346 |         2.97916  |  0.200501  |                    600 |                   1        |             45 |        20809 |       15 |           20809 |          13 | PASSED       |     0.51279  |    1322.72   |  30.1678   |          |        |
